experiment,cell,VHL,HIF1B,EIF4E2,gRNA_id,oxygen,clone,treatment,fraction,replicate,library_ID,ERCC,TSO,input_volume
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo2,1,LYS23N,Yes,TSO-15,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo3,1,LYS23N,Yes,TSO-14,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo4,1,LYS23N,Yes,TSO-13,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo5,1,LYS23N,Yes,TSO-12,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo6,1,LYS23N,Yes,TSO-11,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo7,1,LYS23N,Yes,TSO-10,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo8,1,LYS23N,Yes,TSO-9,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo1,1,LYS23N,Yes,TSO-8,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo2,1,LYS23N,Yes,TSO-7,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo3,1,LYS23N,Yes,TSO-6,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo4,1,LYS23N,Yes,TSO-5,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo5,1,LYS23N,Yes,TSO-4,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo6,1,LYS23N,Yes,TSO-3,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo7,1,LYS23N,Yes,TSO-2,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo8,1,LYS23N,Yes,TSO-1,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo1,1,LYS23O,Yes,TSO-9,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo2,1,LYS23O,Yes,TSO-10,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo3,1,LYS23O,Yes,TSO-11,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo4,1,LYS23O,Yes,TSO-12,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo5,1,LYS23O,Yes,TSO-13,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo6,1,LYS23O,Yes,TSO-14,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo7,1,LYS23O,Yes,TSO-15,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo8,1,LYS23O,Yes,TSO-16,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo1,1,LYS23O,Yes,TSO-1,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo2,1,LYS23O,Yes,TSO-2,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo3,1,LYS23O,Yes,TSO-3,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo4,1,LYS23O,Yes,TSO-4,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo5,1,LYS23O,Yes,TSO-5,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo6,1,LYS23O,Yes,TSO-6,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo7,1,LYS23O,Yes,TSO-7,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo8,1,LYS23O,Yes,TSO-8,150
