experiment,cell,VHL,HIF1B,EIF4E2,gRNA_id,oxygen,clone,treatment,fraction,replicate,library_ID,ERCC,TSO,input_volume
polysome,786O,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo1,1,LYS23A,Yes,TSO-9,75
polysome,786O,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo2,1,LYS23A,Yes,TSO-10,75
polysome,786O,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo3,1,LYS23A,Yes,TSO-11,75
polysome,786O,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo4,1,LYS23A,Yes,TSO-12,75
polysome,786O,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo5,1,LYS23A,Yes,TSO-13,75
polysome,786O,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo6,1,LYS23A,Yes,TSO-14,75
polysome,786O,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo7,1,LYS23A,Yes,TSO-15,75
polysome,786O,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo8,1,LYS23A,Yes,TSO-16,75
polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo1,2,LYS23B,Yes,TSO-16,150
polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo2,2,LYS23B,Yes,TSO-15,150
polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo3,2,LYS23B,Yes,TSO-14,150
polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo4,2,LYS23B,Yes,TSO-13,150
polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo5,2,LYS23B,Yes,TSO-12,150
polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo6,2,LYS23B,Yes,TSO-11,150
polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo7,2,LYS23B,Yes,TSO-10,150
polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo8,2,LYS23B,Yes,TSO-9,150
polysome,786O,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo1,2,LYS23B,Yes,TSO-8,150
polysome,786O,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo2,2,LYS23B,Yes,TSO-7,150
polysome,786O,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo3,2,LYS23B,Yes,TSO-6,150
polysome,786O,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo4,2,LYS23B,Yes,TSO-5,150
polysome,786O,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo5,2,LYS23B,Yes,TSO-4,150
polysome,786O,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo6,2,LYS23B,Yes,TSO-3,150
polysome,786O,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo7,2,LYS23B,Yes,TSO-2,150
polysome,786O,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo8,2,LYS23B,Yes,TSO-1,150
polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo1,3,LYS23C,Yes,TSO-9,150
polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo2,3,LYS23C,Yes,TSO-10,150
polysome,786O,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo3,3,LYS23C,Yes,TSO-11,150
